id,name_ja,name_zh,name_en,type,damage_class,power,accuracy,priority,pp,description_ja,description_zh,description_en,effect_ja,effect_zh,effect_en,learned_by_pokemon,type_id
69,ちきゅうなげ,地球上投,seismic-toss,fighting,physical,,100,0,20,引力を　使い　投げとばす。 自分の　レベルと　同じ　ダメージを 相手に　与える。,利用引力将对手甩飞出去。 给予对手和自己等级相同的伤害。,The target is thrown using the power of gravity. It inflicts damage equal to the user's level.,ダメージ固定技#詳細な仕様も参照。。第一世代のみ、ゴーストタイプにもダメージを与えられる。。スカイバトルでは使用できず、ゆびをふるなどでこのわざが選ばれた場合失敗する。,对目标造成与使用者等级相等的伤害。该招式无法对没有效果的属性的宝可梦造成伤害，但忽略其它属性相克和属性一致加成。,"Inflicts damage equal to the user’s level.  Type immunity applies, but other type effects are ignored.",157,2
70,かいりき,怪力,strength,normal,physical,80,100,0,15,こん身の　力で 相手を　なぐりつけて　攻撃する。,使出浑身力气 殴打对手进行攻击。,The target is slugged with a punch thrown at maximum power.,,怪力为外表和人类相似的宝可梦。它有着浅蓝色的皮肤，骨骼和肌肉的结构与人类十分接近。它也佩戴了金色的腰带，并且拥有类似三角短裤的黑色花纹。它手臂上的红色痕迹消失了，多了一双手，脚分为两趾。它头上仍有三片瓦状凸起。眼睛为红褐色并有黑色的瞳孔，长着白色的厚嘴唇，没有耳朵和鼻子。超极巨化怪力依然是四只手臂，但是四只手臂的前段有了纹路，同时超极巨化怪力的皮肤颜色也变得暗淡起来，它的腿部基本上变成了黑色，腰带上的图案也发生了变化，它的头部变化不大，但是眼睛散发着光芒，超极巨化怪力体型变得更加强壮，超极巨化的云朵缠绕在腰间。,Inflicts regular damage.,406,1
71,すいとる,吸取,absorb,grass,special,20,100,0,25,養分を　吸い取り　攻撃する。 相手に　与えた　ダメージの 半分の　ＨＰを　回復できる。,吸取对手的养分进行攻击。 可以回复给予对手 伤害的一半ＨＰ。,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,回復量を算出する際、小数点以下は第四世代までは切り捨て、第五世代以降は四捨五入する。。おおきなねっこを持たせたポケモンが使う場合は回復量が通常の1.3倍になる。。特性ヘドロえきのポケモンを攻撃した場合は、回復効果がダメージに変わる。。かいふくふうじ状態のポケモンは回復できない。第五世代まで、技を使用することはできるが、HPを回復する効果が無くなる。第六世代以降では技を選択することもできない。攻撃する前にかいふくふうじ状態にされた場合は失敗する。。第二世代までみがわり状態のポケモンには無効だった。,攻击目标造成伤害，自身的ＨＰ恢复“造成的伤害×50%”。在攻击方携带大根茎时，攻击伤害不变，ＨＰ恢复量提高到“造成的伤害×65%”。如果攻击方处于回复封锁状态，招式使用失败。使用吸取攻击替身状态下的宝可梦可以恢复ＨＰ。,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,98,12
72,メガドレイン,超级吸取,mega-drain,grass,special,40,100,0,15,養分を　吸い取り　攻撃する。 相手に　与えた　ダメージの 半分の　ＨＰを　回復できる。,吸取对手的养分进行攻击。 可以回复给予对手 伤害的一半ＨＰ。,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,威力とPPを除けばギガドレインと同じ効果を持つ。ギガドレイン#技の仕様を参照とする。,攻击目标造成伤害，自身的ＨＰ恢复“造成的伤害×50%”。在攻击方携带大根茎时，攻击伤害不变，ＨＰ恢复量提高到“造成的伤害×65%”。如果攻击方处于回复封锁状态，招式使用失败。使用超级吸取攻击替身状态下的宝可梦可以恢复ＨＰ。,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,102,12
73,やどりぎのタネ,寄生种子,leech-seed,grass,status,,90,0,10,植えつけた　相手の　ＨＰを 毎ターン　少しだけ　吸い取り 自分の　ＨＰを　回復する。,植入寄生种子后，将在每回合 一点一点吸取对手的ＨＰ， 从而用来回复自己的ＨＰ。,A seed is planted on the target. It steals some HP from the target every turn.,すでに対象がやどりぎのタネ状態になっている場合は失敗する。。くさタイプのポケモンに対しては効果が無い。特性ノーマルスキンやそうでん状態などにより、技のタイプがくさタイプ以外に変わっていたとしても、やどりぎのタネはくさタイプのポケモンに対して効果が無い。対象がねらいのまとを持っているときでも効果は無い。。くさタイプの技なので、特性がそうしょくのポケモンに対しては無効となる。技のタイプがくさタイプ以外に変化していれば有効となる。特性かたやぶりのポケモンが使用したときなど、特性を無視して使用できれば有効となる。。みがわり状態のポケモンに対して技は防がれる (ポケモンスタジアム2、第二世代以降)。第六世代以降では、特性すりぬけのポケモンが使用すればみがわりを無視して有効となる。ポケモンスタジアム2以外の第一世代ではみがわり状態のポケモンにも有効となる。。相手のマジックコート状態で技を跳ね返された場合、マジックコート状態のポケモンから本来の使用者に対して技を使用したことになる。回復先はマジックコート状態のポケモンがいる位置になる。本来の使用者がくさタイプであるなら無効化される。くさタイプでない場合はやどりぎのタネを植え付けられる。。ゲームシステム的には相手を状態変化にする技であり、HP回復技としては扱われない。かいふくふうじ状態でも使用はできる。相手のやどりぎのタネ状態により回復することはできなくなる。特性ヒーリングシフトのポケモンが使用しても優先度は上がらない。,使目标宝可梦陷入寄生种子状态，对草属性宝可梦及拥有食草特性的宝可梦无效。处于寄生种子状态的宝可梦每回合结束时损失1⁄8的最大ＨＰ，同时该状态的施放者恢复等量的ＨＰ。,Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.  The user takes damage instead of being healed if the target has liquid ooze.  rapid spin will remove this effect.  This effect is passed on by baton pass.,104,12
74,せいちょう,生长,growth,normal,status,,,0,20,体を　一気に 大きく　生長させて 攻撃と　特攻を　あげる。,让身体一下子长大， 从而提高攻击和特攻。,"The user's body grows all at once, boosting the Attack and Sp. Atk stats.",第五世代から、にほんばれ/おおひでり状態のときに使用するとこうげき・とくこうの上昇量が2倍になる。特性ノーてんき/エアロックのポケモンが場にいるときは、にほんばれ状態でもこうげき・とくこうは1段階しか上がらない。ばんのうがさを持つポケモンが使用した場合は、にほんばれ状態でもこうげき・とくこうは1段階しか上がらない。特性たんじゅんのポケモンがにほんばれ状態のときに使用すると、こうげき・とくこうが4段階上昇する。,令使用者的攻击提升1级。令使用者的特攻提升1级。在大晴天或大日照天气下等级提升数量翻倍。,"Raises the user’s Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages.",87,1
75,はっぱカッター,飞叶快刀,razor-leaf,grass,physical,55,95,0,25,はっぱを　とばして 相手を　切りつけて　攻撃する。 急所に　当たりやすい。,飞出叶片， 切斩对手进行攻击。 容易击中要害。,Sharp-edged leaves are launched to slash at opposing Pokémon. This move has a heightened chance of landing a critical hit.,切る技の1つ。特性きれあじのポケモンが使うと威力が1.5倍になる。。第三世代のみ、しぜんのちからは長い草むらでははっぱカッターになる。。X・Yで5番道路など一部の場所での野生ポケモンとのバトル中、背景に自然物(いつもは生えていない草むら)がある場合、この技をバトル中に使うと、バトル終了後にメンタルハーブなどの道具を入手できる。,攻击目标造成伤害。击中要害率比大部分招式高1级。,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,74,12
76,ソーラービーム,日光束,solar-beam,grass,special,120,100,0,10,１ターン目に　光を　いっぱいに　集め ２ターン目に　光の　束を 発射して　攻撃する。,第１回合收集满满的日光， 第２回合发射光束进行攻击。,"The user gathers light on the first turn, then blasts a bundled beam on the next turn.",その場で溜める溜め技の1つ。溜め技に共通する仕様は当該項目を参照とする。。天気がにほんばれ状態のときに使用すると、溜めずに攻撃できる。技を選んでから溜め始めるまでの間に天気が変わった場合、溜め始めたときの天気がにほんばれ状態であることが溜めが無くなる条件となる。溜め始めた後から天気がにほんばれ状態に変わっても溜めが無くなることはない。おおひでり状態のときも、にほんばれ状態と同じ扱いを受け、溜めずに攻撃できる。。パワフルハーブを持っているときに使用すると、道具を消費して溜めずに攻撃できる。天気がにほんばれ状態でもある場合は、天気の効果が優先されてパワフルハーブは消費しない。。溜め始めた際、「<使用者>は ひかりを きゅうしゅうした!/光を 吸収した!」というメッセージが流れる。にほんばれ状態の効果で溜めずに攻撃するときは、第四世代までは溜めのメッセージは流れず、即座に「<使用者>の ソーラービーム!」とメッセージが出る。第五世代以降では、溜めのメッセージが流れた直後に「<使用者>の ソーラービーム!」のメッセージが出る。パワフルハーブの効果で溜めずに攻撃するときは、第四世代から一貫して溜めのメッセージが流れた後、パワフルハーブの発動と攻撃のメッセージが流れる。。天気があめ/すなあらし3-/あられ/ゆき状態のときにダメージを与えた場合、第四世代まではダメージが半分に、第五世代以降では威力が半分になる。溜め始めてから攻撃するまでの間に天気が変わった場合、攻撃時に発生している天気がダメージに影響する。第二世代のすなあらし状態のみ、ダメージに影響は無い。おおあめ状態のときも威力が半分になる。らんきりゅう状態では威力に影響は無い。天気の影響で威力が半分になった場合でも、特性テクニシャンの補正は受けられない。。特性ノーてんき/エアロックのポケモンが場にいるときは、天気の影響は完全に無視される。。使用者がばんのうがさを持っている場合、にほんばれ状態でも溜めるようになるが、あめ状態でも威力が下がらなくなる。すなあらし/あられ/ゆき状態では威力が半減する。技の対象がばんのうがさを持っていても影響は無い。。ノーてんき/エアロック/ばんのうがさの効果でにほんばれ状態でも技を溜め始めた場合、攻撃までにノーてんき/エアロック/ばんのうがさの効果が失われたとしても溜めは無くならない。,使用日光束的宝可梦在第一回合进行蓄力。进行蓄力时的提示为：“[宝可梦的名字]吸收了光！”。进行蓄力时不能下达指令。在第二回合发动招式。攻击目标造成伤害。在天气为下雨、大雨、沙暴、冰雹、下雪或起雾状态时威力减半。蓄力的回合会进行行动判定，成功进行蓄力则消耗ＰＰ。攻击的回合也会进行行动判定，出现不能行动的情况则招式失败。在蓄力的回合，当天气为大晴天或大日照状态时，或者消耗携带的强力香草，可以立刻结束蓄力，在当回合发动招式。对使用日光束的宝可梦（无论当回合是在进行蓄力或进行攻击）使用突袭可以成功。,"Inflicts regular damage.  User charges for one turn before attacking.  During sunny day, the charge turn is skipped.  During hail, rain dance, or sandstorm, power is halved.  This move cannot be selected by sleep talk.",403,12
77,どくのこな,毒粉,poison-powder,poison,status,,75,0,35,毒の　ある　粉を たくさん　ふりまいて 相手を　毒状態に　する。,撒出毒粉， 从而让对手陷入中毒状态。,The user scatters a cloud of poisonous dust that poisons the target.,粉・胞子のわざの1つ。第六世代以降では、くさタイプや特性ぼうじん、ぼうじんゴーグルを持ったポケモンには効果が無い。,毒粉会使目标陷入中毒状态。对草属性、防尘特性、携带防尘护目镜的宝可梦无效。,Poisons the target.,45,4
78,しびれごな,麻痹粉,stun-spore,grass,status,,75,0,30,しびれる　粉を たくさん　ふりまいて 相手を　まひ状態に　する。,撒出麻痹粉， 从而让对手陷入麻痹状态。,The user scatters a cloud of numbing powder that paralyzes the target.,粉・胞子のわざの1つ。第六世代以降ではでんき/くさタイプや特性ぼうじん、ぼうじんゴーグルを持ったポケモンには効果が無い。。特性がじゅうなん/そうしょく/ぜったいねむり/きよめのしおのポケモンには効果が無い。,麻痹粉会使目标陷入麻痹状态。对草属性、防尘特性、携带防尘护目镜的宝可梦无效。,Paralyzes the target.,54,12
79,ねむりごな,催眠粉,sleep-powder,grass,status,,75,0,15,眠くなる　粉を たくさん　ふりまいて 相手を　眠り状態に　する。,撒出催眠粉， 从而让对手陷入睡眠状态。,The user scatters a cloud of soporific dust that puts the target to sleep.,ねむり状態にならないポケモンに対しては効果が無い。。第六世代からは、くさタイプ/特性ぼうじん/持ち物ぼうじんゴーグルを持ったポケモンには効果が無い。,催眠粉会使目标陷入睡眠状态。对草属性、防尘特性、携带防尘护目镜的宝可梦无效。,Puts the target to sleep.,38,12
80,はなびらのまい,花瓣舞,petal-dance,grass,special,120,100,0,10,２ー３ターンの　間　花を まきちらして　相手を　攻撃する。 まきちらした　あとは　混乱する。,在２～３回合内， 散落花瓣攻击对手。 之后自己会陷入混乱。,The user attacks the target by scattering petals for two to three turns. The user then becomes confused.,この技に対するさいはいは失敗する。。踊りの技の1つ。特性おどりこの対象になる。,攻击随机一位对手造成伤害。使用者进入2～3回合花瓣舞状态，期间会继续使用花瓣舞进行攻击，无法使用其他招式、使用道具、替换宝可梦或逃走。因梦话而使用时，不进入花瓣舞状态。因守住状态、未命中、属性相性无效等原因而没有产生效果，则解除花瓣舞状态。花瓣舞状态因回合经过解除时，使用者陷入混乱状态。神秘守护不会避免该招式带来的混乱。后续回合的攻击不消耗ＰＰ。,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.  safeguard does not protect against the confusion from this move.",24,12
81,いとをはく,吐丝,string-shot,bug,status,,95,0,40,口から　吹きだした 糸を　まきつけて　相手の 素早さを　がくっと　さげる。,用口中吐出的丝缠绕对手， 从而大幅降低对手的速度。,The user blows silk from its mouth that binds opposing Pokémon and harshly lowers their Speed stats.,,令目标的速度降低2级。,Lowers the target’s Speed by two stages.,70,7
82,りゅうのいかり,龙之怒,dragon-rage,dragon,special,,100,0,10,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",ダメージ固定技の1つ。当該項目も参照とする。。わざのタイプを相性で無効化するポケモンに対してはダメージを与えられない。。ポケモンスタジアム金銀のリトルカップ・ポケモンバトルレボリューションのリトルバトルではこの技を使用しても当たらない。,对目标造成40伤害。该招式无法对没有效果的属性的宝可梦造成伤害，但忽略其它属性相克和属性一致加成。,Inflicts exactly 40 damage.,38,16
83,ほのおのうず,火焰旋涡,fire-spin,fire,special,35,85,0,15,激しく　渦をまく　炎の中に ４ー５ターンの　間 相手を　閉じこめて　攻撃する。,将对手困在 激烈的火焰旋涡中， 在４～５回合内进行攻击。,The user traps the target inside a fierce vortex of fire that inflicts damage for four to five turns.,第一世代-第二世代では、ほのおタイプであるにも関わらず相手のこおり状態を治す効果がなかった。第三世代以降は相手のこおり状態を治す効果がある。,攻击目标造成伤害。使目标陷入束缚状态。束缚状态持续4～5回合，处于束缚状态的宝可梦会持续受到伤害并不能换下。,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect.",108,10
84,でんきショック,电击,thunder-shock,electric,special,40,100,0,30,電気の　刺激を 相手に　浴びせて　攻撃する。 まひ状態に　することが　ある。,发出电流刺激对手进行攻击。 有时会让对手陷入麻痹状态。,The user attacks the target with a jolt of electricity. This may also leave the target with paralysis.,第一世代のみ、技のタイプと同じポケモンに対して追加効果のまひは発動しない仕様があるため、でんきショックででんきタイプのポケモンはまひしない。第二世代から第五世代まではでんきタイプのポケモンもまひする。。ひみつのちからの戦闘アニメーションはエレキフィールドではでんきショックのものになる。,攻击目标造成伤害。电击有10%的几率使目标陷入麻痹状态。,Inflicts regular damage.  Has a 10% chance to paralyze the target.,89,13
85,１０まんボルト,十万伏特,thunderbolt,electric,special,90,100,0,15,強い　電撃を 相手に　浴びせて　攻撃する。 まひ状態に　することが　ある。,向对手发出 强力电击进行攻击。 有时会让对手陷入麻痹状态。,The user attacks the target with a strong electric blast. This may also leave the target with paralysis.,第一世代のみ技のタイプと同じポケモンに対して追加効果のまひは発動しない仕様があるため、10まんボルトででんきタイプのポケモンはまひしない。第二世代から第五世代まではでんきタイプのポケモンもまひする (第六世代以降はでんきタイプはまひしない仕様になった)。。しぜんのちからはエレキフィールド状態では10まんボルトになる（第六世代以降）。。第七世代では、この技を覚えていると、戦闘中に専用のZワザに変えて使用できるポケモンが2種類いる。ライチュウ(アローラのすがた) にアロライZを持たせていると、ライトニングサーフライドを使うことができる。サトシの帽子をかぶったピカチュウにサトピカZを持たせていると、1000まんボルトを使うことができる。,攻击目标造成伤害。十万伏特有10%的几率使目标陷入麻痹状态。,Inflicts regular damage.  Has a 10% chance to paralyze the target.,343,13
86,でんじは,电磁波,thunder-wave,electric,status,,90,0,20,弱い　電撃を　浴びせることで 相手を　まひ状態に　する。,向对手发出 微弱的电击， 从而让对手陷入麻痹状态。,The user launches a weak jolt of electricity that paralyzes the target.,特性じゅうなん/ぜったいねむり/きよめのしおのポケモン、特性フラワーベールやしんぴのまもり/ミストフィールド状態に守られているポケモンはまひしない。第六世代以降ではでんきタイプのポケモンもまひしない。。特性ちくでんのポケモンには第三世代のみ有効だが、第四世代以降は無効となる。。特性でんきエンジンのポケモンには無効となる。。特性ひらいしんの影響を受ける。。変化技だが、例外的に「効果がない」場合のみタイプ相性の影響を受けて無効になる。じめんタイプのポケモンには無効となる。相手がねらいのまとを持っている場合は有効になる。特性がノーマルスキンのポケモンが使用した場合は、ゴーストタイプのポケモンに無効、じめんタイプ/ちくでん/でんきエンジン/ひらいしんのポケモンに有効となる。さかさバトルではじめんタイプのポケモンにも有効となる。ふしぎなまもりの影響は受けない。,电磁波会使目标陷入麻痹状态。电磁波对于属性相性是0倍的目标无效。例如：,Paralyzes the target.,358,13
87,かみなり,打雷,thunder,electric,special,110,70,0,10,激しい　雷を 相手に　落として　攻撃する。 まひ状態に　することが　ある。,向对手劈下暴雷进行攻击。 有时会让对手陷入麻痹状态。,A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis.,対象があめ状態の効果を受けているときは、お互いの命中率・回避率によらず必中する。。使用者がにほんばれ状態の効果を受けているときは、技の命中率が70ではなく50に変更される。お互いの命中率・回避率に補正が掛かっている場合、技の効果の後に各種補正の効果が計算される (命中も参照)。。特性ノーてんき・エアロックのポケモンが場にいる場合、天気によらず命中率は70になる。。使用者がばんのうがさを持つ場合、にほんばれ状態でも命中率が70になる。。対象がばんのうがさを持つ場合、あめ状態でも命中率が70になる。。天気がおおあめ状態でもあめ状態と同様に必中する。おおひでり状態でもにほんばれ状態と同様に命中率が50になる。。上記以外の天気(すなあらし・あられ・ゆきなど) では命中率は変化しない。。第二世代以降では、対象がそらをとぶ状態状態でも命中する。ダメージが増えたり必中になったりする効果は無い。対象がそらをとぶ状態以外の要因で姿を隠しているときは、たとえ天気があめ状態であっても命中しない。。日本版以外のダイヤモンド・パールを使用した場合のみ、天気があめの場合まもる状態のポケモンにも当たることがある (対象の言語については要検証)。,攻击目标造成伤害。打雷有30%的几率使目标陷入麻痹状态。在天气为大晴天或大日照状态下，打雷的命中降低至50。在天气为下雨或大雨状态下，打雷一定会命中，除非目标正在使用蓄力的招式并不在场地上。可以击中处于飞翔状态的宝可梦。,"Inflicts regular damage.  Has a 30% chance to paralyze the target.  During rain dance, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.  During sunny day, this move has 50% accuracy.",305,13
88,いわおとし,落石,rock-throw,rock,physical,50,90,0,15,小さな　岩を　持ちあげて 相手に　投げつけて　攻撃する。,拿起小岩石， 投掷对手进行攻击。,The user picks up and throws a small rock at the target to inflict damage.,,攻击目标造成伤害。,Inflicts regular damage.,64,6
89,じしん,地震,earthquake,ground,physical,100,100,0,10,地震の　衝撃で　自分の 周りに　いるものを　攻撃する。,利用地震的冲击， 攻击自己周围所有的宝可梦。,The user sets off an earthquake that strikes every Pokémon around it.,あなをほる状態の相手に当てた場合、第三世代・第四世代のみ威力が2倍、第二世代・第五世代以降はダメージが2倍になる。。グラスフィールド状態の影響を受けているポケモンに対してじしんの威力は半分になる。基本的に、じめん技が当たる相手は地面にいてグラスフィールドの影響も受けているため、ほとんどのケースでじしんの威力はグラスフィールドで半減することになる。例外として、あなをほる状態の相手に当てたときや、他の姿を隠す状態の相手に当てることができたとき、ひこうタイプがねらいのまとを持っていたとき、ノーマルスキンやそうでん状態によってじしんのタイプが変わり地面にいない相手に当てることができたときなどは、場がグラスフィールド状態でも威力は半減しない。相手の特性ふゆうをかたやぶりで無視した場合は、相手は地面にいる扱いになるのでグラスフィールドで威力が半減する。。スカイバトルでは使用できず、ゆびをふるなどでこのわざが選ばれた場合失敗する。,攻击目标造成伤害。如果目标处于挖洞状态，威力翻倍。可以击中处于挖洞状态的宝可梦。场地处于青草场地时威力下降50%。,"Inflicts regular damage.  If the target is in the first turn of dig, this move will hit with double power.",384,5
90,じわれ,地裂,fissure,ground,physical,,30,0,5,地割れの　裂け目に 相手を　落として　攻撃する。 当たれば　一撃で　ひんしに　する。,让对手掉落于地裂的 裂缝中进行攻击。 只要命中就会一击濒死。,The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.,スカイバトルでは使用できず、ゆびをふるなどでこのわざが選ばれた場合失敗する。,地裂造成与对手的最大ＨＰ相同的固定伤害。只要属性相性不为0倍，就能一击造成昏厥。如果自身等级低于目标，招式使用失败。此招式不使用通常命中判定：此招式对结实特性的宝可梦无效。此招式对飘浮及食土特性的宝可梦无效。,"Inflicts damage equal to the target’s max HP.  Ignores accuracy and evasion modifiers.  This move’s accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.  Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.  The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",67,5
91,あなをほる,挖洞,dig,ground,physical,80,100,0,10,１ターン目に　潜り　２ターン目で 相手を　攻撃する。,第１回合钻入， 第２回合攻击对手。,"The user burrows into the ground on the first turn, then attacks on the next turn.",,使用挖洞的宝可梦在第一回合潜入地下进行蓄力。进行蓄力时的提示为：“[宝可梦的名字]钻入了地里！”。进行蓄力时不能下达指令。在第二回合发动招式。攻击目标造成伤害。蓄力的回合会进行行动判定，成功进行蓄力则消耗ＰＰ。攻击的回合也会进行行动判定，出现不能行动的情况则招式失败。在蓄力的回合，消耗携带的强力香草，可以立刻结束蓄力，在当回合发动招式。对使用挖洞的宝可梦（无论当回合是在进行蓄力或进行攻击）使用突袭可以成功，但是否命中需要另外计算，进行攻击的那回合使用突袭必定未命中。该招式无法被梦话发动。,"Inflicts regular damage.  User digs underground for one turn, becoming immune to attack, and hits on the second turn.  During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate.  The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.  This move cannot be selected by sleep talk.",491,5
92,どくどく,剧毒,toxic,poison,status,,90,0,10,相手を　猛毒の　状態に　する。 ターンが　すすむほど 毒の　ダメージが　増えていく。,让对手陷入剧毒状态。 随着回合的推进， 中毒伤害会增加。,A move that leaves the target badly poisoned. Its poison damage worsens every turn.,,,Badly poisons the target.  Never misses when used by a poison-type Pokémon.,977,4
93,ねんりき,念力,confusion,psychic,special,50,100,0,25,弱い　念力を 相手に　送って　攻撃する。 相手を　混乱させることが　ある。,向对手发送 微弱的念力进行攻击。 有时会使对手混乱。,The target is hit with a weak telekinetic force to inflict damage. This may also confuse the target.,,攻击目标造成伤害。念力有10%的几率使目标陷入混乱状态。,Inflicts regular damage.  Has a 10% chance to confuse the target.,128,14
94,サイコキネシス,精神强念,psychic,psychic,special,90,100,0,10,強い　念力を　相手に　送って 攻撃する。　相手の　特防を さげることが　ある。,向对手发送 强大的念力进行攻击。 有时会降低对手的特防。,The target is hit with a strong telekinetic force to inflict damage. This may also lower the target’s Sp. Def stat.,サイコキネシスを覚えたミュウがミュウZを持っている場合、専用Zワザのオリジンズスーパーノヴァにすることができる。。しぜんのちからはサイコフィールド状態ではサイコキネシスになる。,攻击目标造成伤害。10%几率令目标的特防降低1级。,Inflicts regular damage.  Has a 10% chance to lower the target’s Special Defense by one stage.,318,14
95,さいみんじゅつ,催眠术,hypnosis,psychic,status,,60,0,20,眠気を　誘う　暗示を　かけて 相手を　眠り状態に　する。,施以诱导睡意的暗示， 让对手陷入睡眠状态。,The user employs hypnotic suggestion to make the target fall asleep.,,催眠术会使目标陷入睡眠状态。,Puts the target to sleep.,88,14
96,ヨガのポーズ,瑜伽姿势,meditate,psychic,status,,,0,40,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,令使用者的攻击提升1级。,Raises the user’s Attack by one stage.,15,14
97,こうそくいどう,高速移动,agility,psychic,status,,,0,30,力を　ぬいて　体を　軽くして 高速で　動く。 自分の　素早さを　ぐーんと　あげる。,让身体放松变得轻盈， 以便高速移动。 大幅提高自己的速度。,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,,令使用者的速度提升2级。,Raises the user’s Speed by two stages.,353,14
98,でんこうせっか,电光一闪,quick-attack,normal,physical,40,100,1,30,目にも　留まらぬ　ものすごい　速さで 相手に　つっこむ。 必ず　先制攻撃　できる。,以迅雷不及掩耳之势扑向对手。 必定能够先制攻击。,"The user lunges at the target to inflict damage, moving at blinding speed. This move always goes first.",先制攻撃技の一種。優先度も参照。。同じ優先度のわざを他のポケモンも使った場合はすばやさの高い方が先に行動できる。,攻击目标造成伤害。,Inflicts regular damage.,206,1
99,いかり,愤怒,rage,normal,physical,20,100,0,20,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",連続攻撃技を受けた場合、1発ごとにこうげきが1段階上がる。,,"Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage.",182,1
100,テレポート,瞬间移动,teleport,psychic,status,,,-6,20,ひかえの　ポケモンが　いるときに 使うと　入れ替わる。 野生の　ポケモンは　逃げてしまう。,当有后备宝可梦在时， 如果使用就可以进行替换。 野生的宝可梦会逃走。,"The user switches places with a party Pokémon in waiting, if any. If a wild Pokémon uses this move, it flees.",,非野生宝可梦使用时，与备战宝可梦进行替换，无视扎根、束缚或无法逃走状态；如果没有备战宝可梦，则招式使用失败。野生宝可梦使用时，无视扎根、束缚或无法逃走状态[待确认]，立刻结束对战，视作逃跑。群聚对战与闯入对战中，如果野生宝可梦还有其他同伴，使用该招式会失败。,Does nothing.  Wild battles end immediately.,56,14
101,ナイトヘッド,黑夜魔影,night-shade,ghost,special,,100,0,15,恐ろしい　幻を　みせて 自分の　レベルと　同じだけの ダメージを　相手に　与える。,显示恐怖幻影， 只给予对手 和自己等级相同的伤害。,The user makes the target see a frightening mirage. It inflicts damage equal to the user's level.,第一世代のみ、「効果がない」場合を含めて相性の影響を受けない。ノーマルタイプの相手や、当時はゴースト技が無効だったエスパータイプの相手にもダメージを与えられる。。第二世代以降では「効果がない」場合は無効となる。「バツグン」や「今ひとつ」の相性はダメージに影響しない。,对目标造成与使用者等级相同的伤害。该招式无法对没有效果的属性的宝可梦造成伤害，但忽略其它属性相克和属性一致加成。,"Inflicts damage equal to the user’s level.  Type immunity applies, but other type effects are ignored.",120,8
