图鉴编号	PokeAPI编号	日文名	中文名	英文名	是否默认形态	第一属性	第二属性	第一特性	第二特性	隐藏特性	体重(kg)	HP	攻击	防御	特攻	特防	速度	种族值总和	日文图鉴说明	英文图鉴说明	中文图鉴说明
211	211	ハリーセン	千针鱼	qwilfish	TRUE	water	poison	poison-point	swift-swim	intimidate	3.9	65	95	85	55	55	85	440	全身の　小さな　針は ウロコが　変化したもの。 刺さると　毒で　気を失う。	"Fishers detest this troublesome Pokémon because it sprays poison from its spines, getting it everywhere. A different form of Qwilfish lives in other regions."	全身上下的小针都是由鳞片 变化而来的。如果被刺中的话， 就会因中毒而昏迷。
211	10234	ハリーセン（ヒスイのすがた）	千针鱼（洗翠的样子）	qwilfish-hisui	FALSE	dark	poison	poison-point	swift-swim	intimidate	3.9	65	95	85	55	55	85	440	全身の　小さな　針は ウロコが　変化したもの。 刺さると　毒で　気を失う。	"Fishers detest this troublesome Pokémon because it sprays poison from its spines, getting it everywhere. A different form of Qwilfish lives in other regions."	全身上下的小针都是由鳞片 变化而来的。如果被刺中的话， 就会因中毒而昏迷。
212	212	ハッサム	巨钳螳螂	scizor	TRUE	bug	steel	swarm	technician	light-metal	118	70	130	100	55	80	65	500	体は　細いが　攻撃力は　凄まじい。 体の　筋肉も 金属で　できているのだ。	Evolved by way of a curious item. The shell covering its body has been shown to be stronger than forged steel.	虽然身体纤细，却有着 惊人的攻击力。身体的 肌肉也是由金属构成的。
212	10046	ハッサム（メガシンカ）	巨钳螳螂（超级进化）	scizor-mega	FALSE	bug	steel	technician			125	70	150	140	65	100	75	600	体は　細いが　攻撃力は　凄まじい。 体の　筋肉も 金属で　できているのだ。	Evolved by way of a curious item. The shell covering its body has been shown to be stronger than forged steel.	虽然身体纤细，却有着 惊人的攻击力。身体的 肌肉也是由金属构成的。
213	213	ツボツボ	壶壶	shuckle	TRUE	bug	rock	sturdy	gluttony	contrary	20.5	20	10	230	10	230	5	505	ツボのような　甲羅の　中に ためこんだ　木の実は　いつの間にか ドロドロの　ジュースに　変わる。	"The berries stored in its vaselike shell eventually become a thick, pulpy juice."	储存在壶形甲壳里的 树果会在不知不觉间 变成黏糊糊的果汁。
214	214	ヘラクロス	赫拉克罗斯	heracross	TRUE	bug	fighting	swarm	guts	moxie	54	80	125	75	40	95	85	500	自分の　体重の　１００倍の　重さでも 軽がる　持ち上げる 怪力　自慢の　ポケモン。	This Pokémon has an unparalleled horn. Heracross itself demonstrates tremendous power—it's capable of throwing several people trained in the traditional arts of war at once.	能轻轻松松地举起比自己 体重还重１００倍的东西， 是以一身怪力为傲的宝可梦。
214	10047	ヘラクロス（メガシンカ）	赫拉克罗斯（超级进化）	heracross-mega	FALSE	bug	fighting	skill-link			62.5	80	185	115	40	105	75	600	自分の　体重の　１００倍の　重さでも 軽がる　持ち上げる 怪力　自慢の　ポケモン。	This Pokémon has an unparalleled horn. Heracross itself demonstrates tremendous power—it's capable of throwing several people trained in the traditional arts of war at once.	能轻轻松松地举起比自己 体重还重１００倍的东西， 是以一身怪力为傲的宝可梦。
215	215	ニューラ	狃拉	sneasel	TRUE	dark	ice	inner-focus	keen-eye	pickpocket	28	55	95	55	35	75	115	430	ずる賢く　獰猛な　性質。 親が　いない　隙に　巣穴に 侵入。　タマゴを　盗みだす。	"Its sturdy, curved claws are ideal for traversing precipitous cliffs. From the tips of these claws drips a venom that infiltrates the nerves of any prey caught in Sneasel's grasp."	狡黠凶恶的性格。 趁着双亲不在就侵入巢穴， 将蛋盗出。
215	10235	ニューラ（ヒスイのすがた）	狃拉（洗翠的样子）	sneasel-hisui	FALSE	fighting	poison	inner-focus	keen-eye	pickpocket	27	55	95	55	35	75	115	430	ずる賢く　獰猛な　性質。 親が　いない　隙に　巣穴に 侵入。　タマゴを　盗みだす。	"Its sturdy, curved claws are ideal for traversing precipitous cliffs. From the tips of these claws drips a venom that infiltrates the nerves of any prey caught in Sneasel's grasp."	狡黠凶恶的性格。 趁着双亲不在就侵入巢穴， 将蛋盗出。
216	216	ヒメグマ	熊宝宝	teddiursa	TRUE	normal		pickup	quick-feet	honey-gather	8.8	60	80	50	50	50	40	330	ハチミツの　染み込んだ　手の平を　なめている。 ヒメグマの　ハチミツは　果物と　スピアーの 集めた　花粉が　ブレンドされて　つくられる。	"It licks its paws because of the sweet honey that has soaked into them. It is cunning, stealing into the nests of Combee and taking for itself the honey that the Combee have amassed."	
217	217	リングマ	圈圈熊	ursaring	TRUE	normal		guts	quick-feet	unnerve	125.8	90	130	75	75	75	55	500	森の　中には　リングマが　エサ集めを　する 大木や　小川が　あちこちに　あると　いう。 毎日　エサを　集めて　森を　歩く。	"When the cold season arrives in Hisui, this Pokémon will wander fields and mountains alike in search of its favorite berries. Ursaring's hunger during this time makes it a ferocious danger."	
218	218	マグマッグ	熔岩虫	slugma	TRUE	fire		magma-armor	flame-body	weak-armor	35	40	40	40	70	40	20	250	体の　中では　血液の　かわりに 必要な　栄養と　酸素を　運ぶために 灼熱の　マグマが　循環している。	"Slugma does not have any blood in its body. Instead, intensely hot magma circulates throughout this Pokémon’s body, carrying essential nutrients and oxygen to its organs."	
219	219	マグカルゴ	熔岩蜗牛	magcargo	TRUE	fire	rock	magma-armor	flame-body	weak-armor	55	60	50	120	90	80	30	430	体温が　約１万度も　あるので　雨粒に 打たれると　蒸気が　もうもうと　立ち込めて あたりは　深い　霧に　覆われると　いう。	"Magcargo’s body temperature is approximately 18,000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain, the raindrops instantly turn into steam, cloaking the area in a thick fog."	
220	220	ウリムー	小山猪	swinub	TRUE	ice	ground	oblivious	snow-cloak	thick-fat	6.5	50	50	40	30	30	50	250	いい　においを　かぎつけると あとさき　考えずに　においの 方向へ　ダッシュしてしまう。	"Swinub excels at sniffing out mushrooms buried beneath grass or snow. Since ancient times, the people of Hisui have often relied upon this skill."	嗅到诱人的香味时， 便会不顾一切地朝着 气味的方向飞奔过去。
221	221	イノムー	长毛猪	piloswine	TRUE	ice	ground	oblivious	snow-cloak	thick-fat	55.8	100	100	80	60	60	50	450	４本の　脚は　短いが ひづめは　広く　ギザギザ　なので 雪の上でも　滑らず　歩ける。	"The long fur of this Pokémon covers its eyes, ears, and even limbs, allowing Piloswine to resist harshly frigid conditions. The Pokémon's white tusks can be used to defeat its enemies."	虽然４只脚很短， 但因为蹄子很宽很粗糙， 所以就算在雪地上行走也不会打滑。
222	222	サニーゴ	太阳珊瑚	corsola	TRUE	water	rock	hustle	natural-cure	regenerator	5	65	55	95	65	95	35	410	温かい　海で　暮らす。 太古は　ガラル近海　にも 数多く　生息していた。	"These Pokémon live in warm seas. In prehistoric times, many lived in the oceans around the Galar region as well."	在温暖的大海里生活。 也曾经大量栖息于 上古时期的伽勒尔近海。
222	10173	サニーゴ（ガラルのすがた）	太阳珊瑚（伽勒尔的样子）	corsola-galar	FALSE	ghost		weak-armor		cursed-body	0.5	60	55	100	65	100	30	410	頭に　生えた　枝は　折れても また　生えてくる。　きれいな　ものは 安産の　お守りに　されるよ。	It will regrow any branches that break off its head. People keep particularly beautiful Corsola branches as charms to promote safe childbirth.	头顶上的珊瑚枝即使折断了 也会再长出来。人们会把漂亮的 珊瑚枝当成保佑孕妇的护身符。
223	223	テッポウオ	铁炮鱼	remoraid	TRUE	water		hustle	sniper	moody	12	35	65	35	65	35	65	300	吸盤の　ように　変化した 背びれで　マンタインに　くっつき 食べ残しを　わけてもらっている。	Spits water from its mouth with incredible accuracy. It captures Burmy by shooting them down off the branches from which they dangle.	会用变成吸盘状的背鳍 吸附在巨翅飞鱼身上， 让它分一点吃剩的东西给自己吃。
224	224	オクタン	章鱼桶	octillery	TRUE	water		suction-cups	sniper	moody	28.5	75	105	75	105	75	45	480	頑丈な　石頭。 吸盤つきの　脚を　絡ませ ひたすら　頭で　打ちすえる。	"While Octillery still shoots water from its mouth, the drastic anatomical difference between it and Remoraid meant that for a long time, no one believed the former evolved from the latter."	有着结实的坚硬脑袋。 会用带吸盘的脚缠住对手， 然后再一个劲地用头猛撞。
225	225	デリバード	信使鸟	delibird	TRUE	ice	flying	vital-spirit	hustle	insomnia	16	45	55	45	65	45	75	330	自分の　エサを　人や　ポケモンに わける　習性が　あるため いつも　エサを　探しまわっている。	"It has a generous habit of sharing its food with people and Pokémon, so it’s always scrounging around for more food."	因为有跟人类及宝可梦 分享自己食物的习性， 所以一直都在到处寻找食物。
226	226	マンタイン	巨翅飞鱼	mantine	TRUE	water	flying	swift-swim	water-absorb	water-veil	220	85	40	70	80	140	70	485	悠然と　海を　泳ぐ。 食べ残しを　狙った　テッポウオが くっついていても　気にしていない。	"This calm and gentle Pokémon swims gracefully through the sea. After building speed, it can leap out of the water. It is often misidentified as a bird Pokémon due to this behavior."	悠然地畅游在大海中。 就算有觊觎食物残渣的铁炮鱼 吸附在自己身上也毫不在意。
227	227	エアームド	盔甲鸟	skarmory	TRUE	steel	flying	keen-eye	sturdy	weak-armor	50.5	65	80	140	40	70	70	465	抜け落ちた　羽根から　剣が 作られることから　紋章の 図案として　人気が　高い。	"People fashion swords from Skarmory’s shed feathers, so this Pokémon is a popular element in heraldic designs."	由于它身上掉落下来的羽毛 可以用来制剑，因此作为纹章 的图案也很有人气。
227	10284	エアームド（メガシンカ）	盔甲鸟（超级进化）	skarmory-mega	FALSE	steel	flying	stalwart			40.4	65	140	110	40	100	110	565	抜け落ちた　羽根から　剣が 作られることから　紋章の 図案として　人気が　高い。	"People fashion swords from Skarmory’s shed feathers, so this Pokémon is a popular element in heraldic designs."	由于它身上掉落下来的羽毛 可以用来制剑，因此作为纹章 的图案也很有人气。
228	228	デルビル	戴鲁比	houndour	TRUE	dark	fire	early-bird	flash-fire	unnerve	10.8	45	60	30	80	50	65	330	夜明け前に　不気味な　遠吠えを 繰り返し　自分たちの　群れの 存在を　アピール　している。	They make repeated eerie howls before dawn to call attention to their pack.	会在天亮之前反复发出恐怖的长嚎， 并以此来彰显自己群体的存在。
229	229	ヘルガー	黑鲁加	houndoom	TRUE	dark	fire	early-bird	flash-fire	unnerve	35	75	90	50	110	80	95	500	不気味な　遠吠えが　特徴。 昔の　人は　地獄　からの 使いと　考え　恐れていた。	"Identifiable by its eerie howls, people a long time ago thought it was the grim reaper and feared it."	恐怖的长嚎是其特征。 过去人们曾认为它是来自 地狱的使者而对其心存畏惧。
229	10048	ヘルガー（メガシンカ）	黑鲁加（超级进化）	houndoom-mega	FALSE	dark	fire	solar-power			49.5	75	90	90	140	90	115	600	不気味な　遠吠えが　特徴。 昔の　人は　地獄　からの 使いと　考え　恐れていた。	"Identifiable by its eerie howls, people a long time ago thought it was the grim reaper and feared it."	恐怖的长嚎是其特征。 过去人们曾认为它是来自 地狱的使者而对其心存畏惧。
230	230	キングドラ	刺龙王	kingdra	TRUE	water	dragon	swift-swim	sniper	damp	152	75	95	95	95	95	85	540	剥がれた　ウロコは　王族へ 献上されるほど　上質で 深みのある　輝きを　もつ。	Scales shed by this Pokémon have such a splendorous gleam to them that they’ve been given to royalty as gifts.	身上掉下的鳞片闪耀着 高雅而有深度的光泽， 甚至会被拿去进献给王族。
231	231	ゴマゾウ	小小象	phanpy	TRUE	ground		pickup		sand-veil	33.5	90	60	60	40	40	40	330	長い　鼻を　使って　水浴びを　する。 仲間が　集まってくると　水を　掛け合う。 ずぶぬれの　体を　水辺で　乾かすよ。	"Phanpy uses its long nose to shower itself. When others gather around, they thoroughly douse each other with water. These Pokémon can be seen drying their soaking-wet bodies at the edge of water."	
232	232	ドンファン	顿甲	donphan	TRUE	ground		sturdy		sand-veil	120	90	120	120	60	60	50	500	硬い　体で　ぶつかれば　家も　壊れる。 その　力を　使って　山道を　ふさいだ 土砂崩れを　どかす　仕事を　手伝うよ。	"If Donphan were to tackle with its hard body, even a house could be destroyed. Using its massive strength, the Pokémon helps clear rock and mud slides that block mountain trails."	
233	233	ポリゴン２	多边兽２型	porygon2	TRUE	normal		trace	download	analytic	32.5	85	80	90	105	95	60	515	ＡＩ機能を　搭載した　結果 ポリゴン２　同士にしか　わからない 謎の　言語を　話しはじめた。	"A bizarre item caused this Pokémon to evolve. While it now exhibits many new gestures and expressions, its biology remains inscrutable."	在装载了ＡＩ功能后， 多边兽２型便开始用只有彼此 能懂的神秘语言互相交流了。
234	234	オドシシ	惊角鹿	stantler	TRUE	normal		intimidate	frisk	sap-sipper	71.2	73	95	62	85	65	85	465	見事な　形の　ツノは　美術品　として 高く　売れた　ために　絶滅　寸前まで 乱獲された　ことのある　ポケモン。	Its strangely shaped antlers have the power to bewitch those who see them. Medicine made by grinding up the black orbs from fallen antlers is an effective treatment for insomnia.	
235	235	ドーブル	图图犬	smeargle	TRUE	normal		own-tempo	technician	moody	58	55	20	35	20	45	75	250	シッポの　先から　でる　体液で マークを　えがく。　マークに　よっては マニアに　高値で　取引される。	"It draws symbols with the fluid that oozes from the tip of its tail. Depending on the symbol, Smeargle fanatics will pay big money for them."	会用尾巴前端渗出的体液画下标记。 对于有些标记，爱好者会以高价买卖。
236	236	バルキー	无畏小子	tyrogue	TRUE	fighting		guts	steadfast	vital-spirit	21	35	35	35	35	35	35	210	手ごろな　相手を　見つけると すぐに　殴りかかってくるので 小さくても　油断ならない。	"Even though it is small, it can’t be ignored because it will slug any handy target without warning."	体型偏小却不可轻视， 因为它只要发现合适的对手 便会马上扑上去大打出手。
237	237	カポエラー	战舞郎	hitmontop	TRUE	fighting		intimidate	technician	steadfast	48	50	95	95	35	110	70	455	逆立ちを　することで　相手の タイミングを　狂わせ　そのすきに 派手な　キック技を　おみまいする。	"After doing a handstand to throw off the opponent’s timing, it presents its fancy kick moves."	会通过倒立来扰乱 对方的节奏，然后 趁隙施展华丽的踢击。
238	238	ムチュール	迷唇娃	smoochum	TRUE	ice	psychic	oblivious	forewarn	hydration	6	45	30	15	85	65	65	305	好奇心旺盛な　ポケモン。 なんでも　唇で　触れてみて 好きか　嫌いかを　決めている。	This is a very curious Pokémon. Smoochum decides what it likes and dislikes by touching things with its lips.	好奇心旺盛的宝可梦。 不管是什么都会试着用 嘴唇去触碰，确认是否喜欢。
239	239	エレキッド	电击怪	elekid	TRUE	electric		static		vital-spirit	23.5	45	63	37	65	55	95	360	まだ　電気を　溜めるのが　下手。 電気を　食べるために　民家に 忍びこみ　コンセントを　探す。	"They generate electricity by spinning their arms. During a thunderstorm, if one hears the lively voices of children out in the wilderness, what one is actually hearing are the voices of Elekid."	储存电力的本领还不到家。 为了吸取电力，会偷偷 潜入民宅寻找插座。
240	240	ブビィ	鸭嘴宝宝	magby	TRUE	fire		flame-body		vital-spirit	21.4	45	75	37	70	55	83	365	火山の　まわりに　棲んでいる。 １日の　終わりには　マグマに　浸かり 疲れを　癒している。	"This Pokémon lives in volcanic areas. With each breath, sparks spurt from its mouth and nose. When Magby is in good health, its flames gain a yellow tint."	栖息在火山地带。 会浸泡在岩浆中， 疗愈一整天的疲劳。
241	241	ミルタンク	大奶罐	miltank	TRUE	normal		thick-fat	scrappy	sap-sipper	75.5	95	80	105	40	70	100	490	毎日　ミルクを　搾らないと 具合が　悪くなる。　ミルクの　味は 季節によって　変わるぞ。	"This Pokémon needs to be milked every day, or else it will fall ill. The flavor of Miltank milk changes with the seasons."	如果不每天帮它挤鲜奶， 它的身体就会不舒服。 鲜奶的味道会随季节改变。
242	242	ハピナス	幸福蛋	blissey	TRUE	normal		natural-cure	serene-grace	healer	46.8	255	10	10	75	135	55	540	幸せが　詰まった　不思議な タマゴを　産む。　食べた　人は 誰にでも　優しくなれるという。	A kindhearted Pokémon that will care for any sick person or Pokémon until their health improves. The eggs it lays are delicious and bring good fortune to those who eat them.	会生下装满幸福的奇妙之蛋。 据说，吃下它的蛋的人， 能够对所有人都温柔相待。
243	243	ライコウ	雷公	raikou	TRUE	electric		pressure		inner-focus	178	90	85	75	115	100	115	580	雷の　スピードを　宿した　ポケモン。 その　遠ぼえは　雷が　落ちた　ときの ように　空気を　震わせ　大地を　揺るがす。	Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.	
244	244	エンテイ	炎帝	entei	TRUE	fire		pressure		inner-focus	198	115	115	85	90	75	100	580	マグマの　情熱を　宿した　ポケモン。 火山の　噴火から　生まれたと　考えられ すべてを　焼き尽くす　炎を　噴き上げる。	Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.	
245	245	スイクン	水君	suicune	TRUE	water		pressure		inner-focus	187	100	75	115	90	115	85	580	わき水の　優しさを　宿した　ポケモン。 滑る　ような　身のこなしで　大地を　走り 濁った　水を　清める　力を　持つ。	Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.	
246	246	ヨーギラス	幼基拉斯	larvitar	TRUE	rock	ground	guts		sand-veil	72	50	64	50	45	50	41	300	土を　食べて　生きている。 大きな　山ひとつ　食べ終わると 成長のため　眠りはじめる。	"It feeds on soil. After it has eaten a large mountain, it will fall asleep so it can grow."	以吃土为生。 吃掉一座大山后， 就会为了成长而开始沉睡。
247	247	サナギラス	沙基拉斯	pupitar	TRUE	rock	ground	shed-skin			152	70	84	70	65	70	51	410	さなぎだが　じっと　していない。 頑丈な　殻の　下では すでに　手足が　できている。	"It will not stay still, even while it’s a pupa. It already has arms and legs under its solid shell."	虽然是蛹却不会呆着不动。 在坚硬的甲壳之下 已经长出了手脚。
248	248	バンギラス	班基拉斯	tyranitar	TRUE	rock	dark	sand-stream		unnerve	202	100	134	110	95	100	61	600	地響きを　鳴らしながら　歩くと 大きな　山でさえ　崩れ まわりの　地形は　変わってしまう。	The quakes caused when it walks make even great mountains crumble and change the surrounding terrain.	当它带着巨大轰鸣声迈开脚步， 就连大山都会为之崩裂， 周围的地形也会因此改变。
248	10049	バンギラス（メガシンカ）	班基拉斯（超级进化）	tyranitar-mega	FALSE	rock	dark	sand-stream			255	100	164	150	95	120	71	700	地響きを　鳴らしながら　歩くと 大きな　山でさえ　崩れ まわりの　地形は　変わってしまう。	The quakes caused when it walks make even great mountains crumble and change the surrounding terrain.	当它带着巨大轰鸣声迈开脚步， 就连大山都会为之崩裂， 周围的地形也会因此改变。
249	249	ルギア	洛奇亚	lugia	TRUE	psychic	flying	pressure		multiscale	216	106	90	130	90	154	110	680	翼を　軽く　羽ばたかせた　だけで　民家を 吹き飛ばす　破壊力を　持っている　ために 海底で　人知れず　暮らす　ように　なった。	"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea."	
250	250	ホウオウ	凤王	ho-oh	TRUE	fire	flying	pressure		regenerator	199	106	130	90	110	154	90	680	光の　当たる　角度に　よって　七色に 輝く　ハネは　幸せを　もたらすと　いう。 虹の　ふもとに　すむと　いわれている。	Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.	
251	251	セレビィ	时拉比	celebi	TRUE	psychic	grass	natural-cure			5	100	100	100	100	100	100	600	未来から　時を　渡って やって来た。　キズを　癒し 草木に　力を　分け与える。	"This Pokémon traveled through time to come from the future. It bolsters grass and trees with its own strength, and it can heal wounds, too."	从未来穿越时光而来。 能够治愈伤痛， 也会把自己的力量分给草木。
252	252	キモリ	木守宫	treecko	TRUE	grass		overgrow		unburden	5	40	45	35	65	55	70	310	沈着　冷静　何事にも　動じない。 体の　大きな　ポケモンに　にらまれても 一歩も　引かずに　にらみかえすぞ。	"Treecko is cool, calm, and collected—it never panics under any situation. If a bigger foe were to glare at this Pokémon, it would glare right back without conceding an inch of ground."	
253	253	ジュプトル	森林蜥蜴	grovyle	TRUE	grass		overgrow		unburden	21.6	50	65	45	85	65	95	405	枝から　枝へ　身軽に　飛び回る。 どんなに　素早い　ポケモンも　森の　中で ジュプトルを　捕まえる　ことは　不可能だ。	"This Pokémon adeptly flies from branch to branch in trees. In a forest, no Pokémon can ever hope to catch a fleeing Grovyle however fast they may be."	
254	254	ジュカイン	蜥蜴王	sceptile	TRUE	grass		overgrow		unburden	52.2	70	85	65	105	85	120	530	背中の　タネには　樹木を　元気にする 栄養が　沢山　詰まっていると　いわれる。 森の　木を　大事に　育てている　ポケモン。	Sceptile has seeds growing on its back. They are said to be bursting with nutrients that revitalize trees. This Pokémon raises the trees in a forest with loving care.	
254	10065	ジュカイン（メガシンカ）	蜥蜴王（超级进化）	sceptile-mega	FALSE	grass	dragon	lightning-rod			55.2	70	110	75	145	85	145	630	背中の　タネには　樹木を　元気にする 栄養が　沢山　詰まっていると　いわれる。 森の　木を　大事に　育てている　ポケモン。	Sceptile has seeds growing on its back. They are said to be bursting with nutrients that revitalize trees. This Pokémon raises the trees in a forest with loving care.	
255	255	アチャモ	火稚鸡	torchic	TRUE	fire		blaze		speed-boost	2.5	45	60	40	70	50	45	310	体内に　炎を　燃やす　場所が　あるので 抱きしめると　ぽかぽか　とっても　暖かい。 全身　ふかふかの　羽毛に　覆われている。	Torchic has a place inside its body where it keeps its flame. Give it a hug—it will be glowing with warmth. This Pokémon is covered all over by a fluffy coat of down.	
256	256	ワカシャモ	力壮鸡	combusken	TRUE	fire	fighting	blaze		speed-boost	19.5	60	85	60	85	60	55	405	クチバシから　吐きだす　灼熱の　炎と 破壊力　抜群の　キックで　戦う。 鳴き声が　大きいので　とても　やかましい。	Combusken battles with the intensely hot flames it spews from its beak and with outstandingly destructive kicks. This Pokémon’s cry is very loud and distracting.	
257	257	バシャーモ	火焰鸡	blaziken	TRUE	fire	fighting	blaze		speed-boost	52	80	120	70	110	70	80	530	強靭な　足腰を　持ち　３０階　建ての ビルも　楽々　飛び越す　ことが　できる。 炎の　パンチで　相手を　黒焦げに　する。	Blaziken has incredibly strong legs—it can easily clear a 30-story building in one leap. This Pokémon’s blazing punches leave its foes scorched and blackened.	
257	10050	バシャーモ（メガシンカ）	火焰鸡（超级进化）	blaziken-mega	FALSE	fire	fighting	speed-boost			52	80	160	80	130	80	100	630	強靭な　足腰を　持ち　３０階　建ての ビルも　楽々　飛び越す　ことが　できる。 炎の　パンチで　相手を　黒焦げに　する。	Blaziken has incredibly strong legs—it can easily clear a 30-story building in one leap. This Pokémon’s blazing punches leave its foes scorched and blackened.	
258	258	ミズゴロウ	水跃鱼	mudkip	TRUE	water		torrent		damp	7.6	50	70	50	50	50	40	310	水中では　ほっぺの　エラで　呼吸する。 ピンチに　なると　体より　大きな　岩を 粉々に　砕く　パワーを　発揮する。	"In water, Mudkip breathes using the gills on its cheeks. If it is faced with a tight situation in battle, this Pokémon will unleash its amazing power—it can crush rocks bigger than itself."	
259	259	ヌマクロー	沼跃鱼	marshtomp	TRUE	water	ground	torrent		damp	28	70	85	70	60	70	50	405	水中を　泳ぐより　泥の　中を 進む　ほうが　断然　速く　移動できる。 足腰が　発達して　２本足で　歩く。	"Marshtomp is much faster at traveling through mud than it is at swimming. This Pokémon’s hindquarters exhibit obvious development, giving it the ability to walk on just its hind legs."	
260	260	ラグラージ	巨沼怪	swampert	TRUE	water	ground	torrent		damp	81.9	100	110	90	85	90	60	535	ラグラージは　波音や　潮風の　わずかな 違いを　ヒレで　感じ　嵐を　予感する。 嵐になると　岩を　積み上げ　巣を　守る。	"Swampert predicts storms by sensing subtle differences in the sounds of waves and tidal winds with its fins. If a storm is approaching, it piles up boulders to protect itself."	
260	10064	ラグラージ（メガシンカ）	巨沼怪（超级进化）	swampert-mega	FALSE	water	ground	swift-swim			102	100	150	110	95	110	70	635	ラグラージは　波音や　潮風の　わずかな 違いを　ヒレで　感じ　嵐を　予感する。 嵐になると　岩を　積み上げ　巣を　守る。	"Swampert predicts storms by sensing subtle differences in the sounds of waves and tidal winds with its fins. If a storm is approaching, it piles up boulders to protect itself."	
261	261	ポチエナ	土狼犬	poochyena	TRUE	dark		run-away	quick-feet	rattled	13.6	35	55	35	30	30	35	220	なんでも　食べる　雑食性の　ポケモン。 体に　比べ　大きな　キバが　特徴。 尻尾の　毛を　逆立てて　敵を　威嚇する。	Poochyena is an omnivore—it will eat anything. A distinguishing feature is how large its fangs are compared to its body. This Pokémon tries to intimidate its foes by making the hair on its tail bristle out.	
262	262	グラエナ	大狼犬	mightyena	TRUE	dark		intimidate	quick-feet	moxie	37	70	90	70	60	60	70	420	グループで　行動していた　野生の　血が 残っているので　優れた　トレーナー　だけを リーダーと　認めて　命令に　従う。	Mightyena travel and act as a pack in the wild. The memory of its life in the wild compels the Pokémon to obey only those Trainers that it recognizes to possess superior skill.	
263	263	ジグザグマ	蛇纹熊	zigzagoon	TRUE	normal		pickup	gluttony	quick-feet	17.5	38	30	41	30	41	60	240	ガラルの　ジグザグマが　ほかの 地域に　適応した　姿。 探し物を　見つけるのが　得意。	"Zigzagoon that adapted to regions outside Galar acquired this appearance. If you’ve lost something, this Pokémon can likely find it."	伽勒尔的蛇纹熊适应了 其他地区环境后的样子。 十分擅长找东西。
263	10174	ジグザグマ（ガラルのすがた）	蛇纹熊（伽勒尔的样子）	zigzagoon-galar	FALSE	dark	normal	pickup	gluttony	quick-feet	17.5	38	30	41	30	41	60	240	硬い　体毛を　木に　こすりつけ 縄張りの　印を　付ける。 ガラルの　ジグザグマより　温厚。	It marks its territory by rubbing its bristly fur on trees. This variety of Zigzagoon is friendlier and calmer than the kind native to Galar.	会用背上的硬毛摩擦树木， 留下代表自己地盘的标记。 性情比伽勒尔的蛇纹熊温驯。
264	264	マッスグマ	直冲熊	linoone	TRUE	normal		pickup	gluttony	quick-feet	32.5	78	70	61	50	61	100	420	抜群の　瞬発力と するどいツメで　獲物を　しとめる。 曲がった　道を　走るのは　下手。	It uses its explosive speed and razor-sharp claws to bring down prey. Running along winding paths is not its strong suit.	用自己超群的爆发力 和锐利的爪子来制服猎物。 不擅长在弯曲的道路上奔跑。
264	10175	マッスグマ（ガラルのすがた）	直冲熊（伽勒尔的样子）	linoone-galar	FALSE	dark	normal	pickup	gluttony	quick-feet	32.5	78	70	61	50	61	100	420	強くて　コシの　ある　体毛。 抜け毛で　作られた　シェービング ブラシは　超高級品。	Its fur is strong and supple. Shaving brushes made with shed Linoone hairs are highly prized.	体毛拥有良好的韧度与质感。 用它身上掉下来的毛制成的 剃须刷是最上等的高级货。
265	265	ケムッソ	刺尾虫	wurmple	TRUE	bug		shield-dust		run-away	3.6	45	45	35	20	30	20	195	エサにしようと　捕まえにきた　オオスバメに お尻の　トゲを　向けて　抵抗する。 染み出した　毒で　相手を　弱らせるぞ。	Likes sap and is abundant in the wild. Why it evolves into various different forms is unknown. One cannot tell from a Wurmple's appearance which form it will take when it evolves.	
266	266	カラサリス	甲壳茧	silcoon	TRUE	bug		shed-skin			10	50	35	55	25	25	15	205	進化するまで　なにも　食べずに　耐えていると 考えられていたが　どうやら　糸に　ついた 雨水で　乾きを　癒しているらしい。	"Wraps itself in thin strings of silk while it stores energy for evolution. It can't extend its limbs and its movement is slow, but its eyes keep a sharp lookout—Silcoon is always on guard."	
267	267	アゲハント	狩猎凤蝶	beautifly	TRUE	bug	flying	swarm		rivalry	28.4	60	70	50	100	50	65	395	くるりと　巻いた　針の　ような　長い　口は 花粉を　集める　ときに　とても　便利。 春風に　乗って　花粉を　集めてまわる。	"A colorful and incredibly beautiful but also greedy Pokémon. In an effort to keep its favorite food all to itself, it will chase away Combee as they try to gather nectar."	
